Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,93900.000000,94000.000000,92800.000000,92800.000000,92507.593750,248917
2016-06-16,93000.000000,93800.000000,90900.000000,91200.000000,90912.632813,347392
2016-06-17,91700.000000,92400.000000,90700.000000,91300.000000,91012.320313,253700
2016-06-20,91500.000000,94900.000000,91500.000000,94900.000000,94600.976563,301386
2016-06-21,95200.000000,95700.000000,93600.000000,93800.000000,93504.445313,184809
2016-06-22,93300.000000,94700.000000,93300.000000,94200.000000,93903.179688,139412
2016-06-23,93800.000000,94000.000000,92900.000000,93200.000000,92906.328125,186812
2016-06-24,94500.000000,94600.000000,88300.000000,91200.000000,90912.632813,713158
2016-06-27,88700.000000,91800.000000,88700.000000,91600.000000,91311.375000,322279
2016-06-28,91000.000000,92600.000000,90900.000000,91200.000000,90912.632813,277899
2016-06-29,92200.000000,93300.000000,92200.000000,92200.000000,91909.484375,237550
2016-06-30,93100.000000,93700.000000,92700.000000,93100.000000,92806.648438,163504
2016-07-01,93600.000000,95300.000000,93500.000000,94700.000000,94401.609375,280867
2016-07-04,95200.000000,95500.000000,93700.000000,93800.000000,93504.445313,190799
2016-07-05,93600.000000,94300.000000,92900.000000,93300.000000,93006.015625,187924
2016-07-06,93800.000000,94900.000000,92600.000000,94700.000000,94401.609375,271543
2016-07-07,94800.000000,95700.000000,94700.000000,95000.000000,94700.664063,194706
2016-07-08,94000.000000,94300.000000,93400.000000,93700.000000,93404.757813,224800
2016-07-11,94200.000000,95000.000000,93600.000000,95000.000000,94700.664063,184007
2016-07-12,95100.000000,95700.000000,95000.000000,95500.000000,95199.085938,248311
2016-07-13,96000.000000,96200.000000,94200.000000,94500.000000,94202.242188,229034
2016-07-14,95000.000000,95000.000000,94000.000000,94800.000000,94501.296875,149363
2016-07-15,95000.000000,95400.000000,94300.000000,94300.000000,94002.867188,197554
2016-07-18,94300.000000,94500.000000,93100.000000,93200.000000,92906.328125,198412
2016-07-19,93000.000000,93900.000000,93000.000000,93500.000000,93205.390625,131218
2016-07-20,93600.000000,94600.000000,93300.000000,93500.000000,93205.390625,129539
2016-07-21,94100.000000,94300.000000,92700.000000,92700.000000,92407.906250,183072
2016-07-22,92700.000000,94100.000000,92700.000000,92700.000000,92407.906250,188337
2016-07-25,93100.000000,93200.000000,92100.000000,92200.000000,91909.484375,176203
2016-07-26,92600.000000,92600.000000,91400.000000,91500.000000,91211.687500,223967
2016-07-27,91200.000000,92300.000000,91100.000000,91200.000000,90912.632813,192058
2016-07-28,91400.000000,92000.000000,90700.000000,91600.000000,91311.375000,220576
2016-07-29,91500.000000,91600.000000,90900.000000,90900.000000,90613.578125,236131
2016-08-01,91500.000000,91600.000000,90600.000000,91000.000000,90713.265625,234983
2016-08-02,91000.000000,91300.000000,90800.000000,91000.000000,90713.265625,122894
2016-08-03,90700.000000,94200.000000,90600.000000,93900.000000,93604.125000,416577
2016-08-04,93800.000000,93800.000000,92300.000000,92300.000000,92009.164063,266692
2016-08-05,92800.000000,93600.000000,92000.000000,92100.000000,91809.804688,209258
2016-08-08,92700.000000,92700.000000,91200.000000,91500.000000,91211.687500,198686
2016-08-09,91900.000000,93000.000000,91600.000000,92900.000000,92607.273438,288342
2016-08-10,93400.000000,93400.000000,92600.000000,92700.000000,92407.906250,298220
2016-08-11,93600.000000,94300.000000,91200.000000,91300.000000,91012.320313,459030
2016-08-12,91400.000000,91500.000000,89200.000000,89500.000000,89217.984375,762281
2016-08-16,89600.000000,89800.000000,88600.000000,88600.000000,88320.828125,381711
2016-08-17,88600.000000,89300.000000,88000.000000,88000.000000,87722.718750,342989
2016-08-18,88000.000000,88500.000000,86600.000000,86700.000000,86426.812500,433201
2016-08-19,86500.000000,86700.000000,84600.000000,84700.000000,84433.117188,602877
2016-08-22,84500.000000,84700.000000,82700.000000,82700.000000,82439.421875,449238
2016-08-23,82000.000000,83900.000000,80200.000000,80500.000000,80246.351563,861917
2016-08-24,81100.000000,83100.000000,80700.000000,82500.000000,82240.046875,696481
2016-08-25,82100.000000,83000.000000,81000.000000,81000.000000,80744.773438,346409
2016-08-26,80500.000000,81500.000000,80500.000000,81000.000000,80744.773438,255043
2016-08-29,80800.000000,80900.000000,79300.000000,79300.000000,79050.132813,478825
2016-08-30,79500.000000,80800.000000,79400.000000,80000.000000,79747.929688,293565
2016-08-31,80000.000000,81300.000000,79700.000000,81300.000000,81043.828125,342533
2016-09-01,81300.000000,82200.000000,80800.000000,82100.000000,81841.304688,334011
2016-09-02,81500.000000,82000.000000,80900.000000,81000.000000,80744.773438,270384
2016-09-05,81200.000000,82200.000000,80900.000000,81000.000000,80744.773438,263587
2016-09-06,81400.000000,82100.000000,80900.000000,81200.000000,80944.140625,219973
2016-09-07,80600.000000,80700.000000,79600.000000,80000.000000,79747.929688,269047
2016-09-08,80100.000000,81800.000000,80100.000000,81800.000000,81542.250000,296809
2016-09-09,80900.000000,81400.000000,80400.000000,80600.000000,80346.039063,258472
2016-09-12,80000.000000,80400.000000,79300.000000,79900.000000,79648.242188,175099
2016-09-13,80000.000000,80600.000000,79900.000000,80500.000000,80246.351563,167806
2016-09-19,80100.000000,80600.000000,79900.000000,80500.000000,80246.351563,153998
2016-09-20,80700.000000,83500.000000,80600.000000,82200.000000,81940.992188,493052
2016-09-21,82000.000000,82500.000000,81200.000000,82300.000000,82040.679688,196029
2016-09-22,83000.000000,84700.000000,82400.000000,84500.000000,84233.742188,371860
2016-09-23,84200.000000,84500.000000,83300.000000,83600.000000,83336.585938,265218
2016-09-26,83200.000000,83300.000000,82300.000000,82600.000000,82339.734375,176917
2016-09-27,82400.000000,84100.000000,81900.000000,83600.000000,83336.585938,163326
2016-09-28,83400.000000,83600.000000,82400.000000,82800.000000,82539.101563,166639
2016-09-29,82700.000000,82900.000000,82000.000000,82700.000000,82439.421875,236280
2016-09-30,83300.000000,84200.000000,81700.000000,81800.000000,81542.250000,380670
2016-10-04,81700.000000,82700.000000,81200.000000,81200.000000,80944.140625,351455
2016-10-05,82000.000000,85500.000000,81800.000000,85500.000000,85230.593750,728681
2016-10-06,85200.000000,86300.000000,84100.000000,85300.000000,85031.226563,388287
2016-10-07,85100.000000,85400.000000,83300.000000,83400.000000,83137.210938,242697
2016-10-10,83200.000000,83700.000000,82500.000000,82600.000000,82339.734375,144551
2016-10-11,82700.000000,82900.000000,81500.000000,81500.000000,81243.195313,257663
2016-10-12,81500.000000,81500.000000,79000.000000,80200.000000,79947.296875,534287
2016-10-13,80400.000000,80500.000000,79300.000000,79300.000000,79050.132813,203778
2016-10-14,79300.000000,79800.000000,79000.000000,79300.000000,79050.132813,148730
2016-10-17,79500.000000,81000.000000,79500.000000,80500.000000,80246.351563,160442
2016-10-18,80300.000000,80800.000000,79700.000000,80800.000000,80545.406250,169592
2016-10-19,81000.000000,82200.000000,80400.000000,81700.000000,81442.570313,246435
2016-10-20,82100.000000,82900.000000,81000.000000,81000.000000,80744.773438,278568
2016-10-21,81600.000000,81700.000000,80400.000000,80600.000000,80346.039063,192255
2016-10-24,81700.000000,81700.000000,80500.000000,80700.000000,80445.718750,150118
2016-10-25,80300.000000,82700.000000,80300.000000,82300.000000,82040.679688,305185
2016-10-26,82400.000000,82500.000000,80400.000000,80900.000000,80645.085938,189596
2016-10-27,80900.000000,81800.000000,80800.000000,81300.000000,81043.828125,123235
2016-10-28,80900.000000,81100.000000,79600.000000,79600.000000,79349.187500,299652
2016-10-31,79600.000000,79900.000000,76400.000000,76400.000000,76159.265625,498234
2016-11-01,75600.000000,76600.000000,74000.000000,74600.000000,74364.945313,388432
2016-11-02,74000.000000,74500.000000,71300.000000,71300.000000,71075.335938,640159
2016-11-03,70400.000000,72600.000000,70300.000000,71400.000000,71175.023438,383722
2016-11-04,71200.000000,74000.000000,71200.000000,73200.000000,72969.351563,280780
2016-11-07,73200.000000,74200.000000,73100.000000,73700.000000,73467.773438,155971
2016-11-08,74300.000000,74500.000000,73800.000000,74300.000000,74065.882813,143280
2016-11-09,74300.000000,74600.000000,69900.000000,71300.000000,71075.335938,529993
2016-11-10,75300.000000,79900.000000,75200.000000,79700.000000,79448.867188,1182920
2016-11-11,79800.000000,79800.000000,76900.000000,77800.000000,77554.859375,433329
2016-11-14,77800.000000,78200.000000,75800.000000,75800.000000,75561.156250,261019
2016-11-15,75600.000000,77100.000000,75300.000000,76000.000000,75760.523438,186400
2016-11-16,76500.000000,80500.000000,76500.000000,80300.000000,80046.984375,566246
2016-11-17,80600.000000,81100.000000,79500.000000,81000.000000,80744.773438,239572
2016-11-18,80600.000000,81800.000000,80000.000000,80700.000000,80445.718750,281422
2016-11-21,80400.000000,80500.000000,78300.000000,79000.000000,78751.078125,186638
2016-11-22,79000.000000,82000.000000,79000.000000,81800.000000,81542.250000,345344
2016-11-23,81800.000000,82400.000000,80600.000000,81900.000000,81641.937500,273571
2016-11-24,81700.000000,82000.000000,80400.000000,80700.000000,80445.718750,173751
2016-11-25,80700.000000,81600.000000,80300.000000,81300.000000,81043.828125,169643
2016-11-28,81400.000000,81400.000000,79100.000000,79400.000000,79149.812500,213000
2016-11-29,79600.000000,81100.000000,79100.000000,79800.000000,79548.554688,193718
2016-11-30,79500.000000,79900.000000,77700.000000,77700.000000,77455.171875,255953
2016-12-01,77300.000000,78700.000000,76700.000000,76700.000000,76458.320313,188500
2016-12-02,76700.000000,77200.000000,75200.000000,75300.000000,75062.734375,189997
2016-12-05,74700.000000,76800.000000,74300.000000,74700.000000,74464.625000,192995
2016-12-06,75500.000000,76200.000000,74700.000000,75100.000000,74863.367188,133357
2016-12-07,74800.000000,75600.000000,74800.000000,75100.000000,74863.367188,115644
2016-12-08,75900.000000,77200.000000,75400.000000,76300.000000,76059.585938,200443
2016-12-09,76300.000000,79400.000000,76000.000000,79400.000000,79149.812500,300441
2016-12-12,80000.000000,80600.000000,78700.000000,79600.000000,79349.187500,314933
2016-12-13,79600.000000,79800.000000,78400.000000,79200.000000,78950.445313,191517
2016-12-14,79900.000000,81000.000000,78700.000000,78700.000000,78452.015625,281848
2016-12-15,78700.000000,79300.000000,77300.000000,78100.000000,77853.906250,179990
2016-12-16,78300.000000,78400.000000,77400.000000,77500.000000,77255.804688,141183
2016-12-19,77700.000000,79300.000000,77700.000000,78200.000000,77953.593750,151456
2016-12-20,78300.000000,79100.000000,76900.000000,76900.000000,76657.695313,175499
2016-12-21,77400.000000,77400.000000,76100.000000,76100.000000,75860.210938,207737
2016-12-22,76500.000000,76900.000000,74800.000000,74800.000000,74564.312500,276108
2016-12-23,75500.000000,75900.000000,74500.000000,75000.000000,74763.679688,267841
2016-12-26,75000.000000,75800.000000,75000.000000,75100.000000,74863.367188,132251
2016-12-27,75500.000000,75600.000000,74600.000000,74800.000000,74564.312500,236974
2016-12-28,75000.000000,75900.000000,74700.000000,75500.000000,75411.312500,201595
